zone_id,sensor_id,pipe_id,timestamp,water_supplied_litres,water_consumed_litres,flow_rate_lps,pressure_psi,temperature_c,leak,latitude,longitude
Bilaspur,S984,P73,2024-12-25 15:25:00,4972.99,4372.38,26.93,46.74,36.54,0,22.072377148153084,82.12971327463808
Bhilai,S136,P33,2024-08-06 18:02:00,3676.17,3067.58,12.81,30.06,26.33,0,21.20402349644036,81.41968673930491
Raipur,S641,P2,2024-01-31 04:18:00,957.72,809.88,9.57,57.76,26.54,0,21.253565504884794,81.63594729131161
Bhilai,S414,P35,2024-06-20 01:25:00,1295.62,1170.36,5.97,55.54,36.47,0,21.208644497828438,81.42250379832134
Durg,S181,P69,2024-07-11 23:06:00,4998.01,4764.6,36.08,33.14,32.15,0,21.19130352429107,81.28340368351202
Bhilai,S680,P61,2024-01-01 12:12:00,1063.62,906.13,38.58,33.44,29.78,0,21.21298666743739,81.42991700570778
Raipur,S736,P29,2024-06-11 16:33:00,1756.9,1740.85,24.6,31.4,27.82,0,21.258773289693767,81.63017890504058
Bilaspur,S724,P34,2024-09-28 10:11:00,3331.31,2386.19,15.53,18.33,28.74,0,22.079540571094604,82.13267928573103
Durg,S854,P50,2024-05-23 09:41:00,1719.08,1557.82,9.88,57.1,33.81,0,21.184074138328647,81.28896419274157
Raipur,S347,P69,2024-11-11 20:15:00,3778.98,2861.52,5.83,50.61,31.31,0,21.241660860191818,81.62768254220443
Durg,S298,P80,2024-08-09 19:09:00,4998.71,3640.99,38.0,57.06,30.15,1,21.18367529008895,81.28273126248426
Bhilai,S846,P53,2024-09-25 22:10:00,1950.66,1521.43,15.66,25.51,37.47,0,21.21458912903361,81.43730217620596
Bhilai,S866,P18,2024-07-16 17:04:00,1400.92,1157.81,12.49,18.44,21.98,0,21.20971780148547,81.42159498772267
Bhilai,S636,P92,2024-01-23 00:31:00,3059.69,2798.42,27.31,33.83,34.93,0,21.21338761722998,81.43224979689946
Bilaspur,S670,P20,2024-10-31 03:15:00,3292.95,2506.3,14.62,40.21,28.44,0,22.07088106331992,82.13497582489967
Raipur,S182,P88,2024-07-04 16:24:00,1751.06,1298.78,33.4,48.74,34.73,0,21.24598934980481,81.62920323142862
Durg,S830,P11,2024-05-10 16:52:00,4674.39,4026.86,49.11,21.13,20.82,1,21.187307883184207,81.29311472663292
Bhilai,S860,P59,2024-10-01 21:15:00,4123.81,3921.3,44.14,51.04,32.0,0,21.21709570450169,81.43104902407481
Bhilai,S189,P10,2024-06-11 15:16:00,3266.57,2824.17,19.65,44.83,25.01,0,21.21632846225546,81.42332759690417
Bhilai,S928,P84,2024-10-03 10:55:00,3395.51,3185.53,35.29,39.56,36.54,0,21.21841381381665,81.43018245567644
Durg,S145,P75,2024-04-07 22:00:00,2555.27,1975.58,16.41,37.21,22.79,0,21.196198953759374,81.27607484018196
Durg,S666,P58,2024-03-26 13:40:00,3150.9,3074.09,39.07,53.4,32.83,0,21.18522629475708,81.27767734270407
Durg,S152,P80,2024-09-08 03:30:00,3765.28,3040.17,31.44,22.21,21.4,0,21.200205508734772,81.2880718047618
Durg,S521,P21,2024-05-26 15:17:00,3625.56,3256.37,10.04,43.82,26.57,0,21.181622883609574,81.28848586085014
Bilaspur,S489,P2,2024-09-12 11:51:00,4031.84,3571.34,20.25,15.04,24.5,0,22.076864731930133,82.13409573154476
Raipur,S231,P47,2024-07-03 15:05:00,855.47,808.0,15.45,27.79,36.68,0,21.24767377403299,81.62945089026863
Raipur,S319,P65,2024-07-23 08:38:00,4326.75,3122.11,15.8,57.24,27.76,0,21.244026224215382,81.62580213789695
Bhilai,S752,P71,2024-11-18 08:08:00,2461.68,2455.47,34.71,25.27,32.57,0,21.19989704594644,81.43544333885829
Durg,S172,P98,2024-06-28 03:28:00,2109.87,1908.96,19.85,24.11,21.76,0,21.187525995008873,81.28547759893229
Raipur,S326,P13,2024-11-16 05:25:00,3479.44,3054.89,18.23,40.84,27.57,0,21.248980599374928,81.62614633592291
Durg,S957,P6,2024-07-26 12:58:00,3311.58,2606.8,40.76,18.06,27.46,0,21.190700324484624,81.28190555024655
Bhilai,S660,P38,2024-11-05 00:07:00,4133.24,3156.94,44.19,36.49,27.55,0,21.202324278330302,81.43284007581435
Bilaspur,S199,P14,2024-03-26 03:59:00,1169.22,1098.98,26.03,15.72,22.41,0,22.08534816500703,82.14457968374305
Durg,S760,P33,2024-07-18 17:03:00,3912.27,3879.89,44.66,43.31,34.43,0,21.19557576395319,81.28398286164308
Bilaspur,S706,P74,2024-02-01 11:29:00,1379.0,1061.98,25.9,43.51,20.51,0,22.074774669019707,82.14804300338231
Bhilai,S340,P18,2024-03-04 08:18:00,3718.47,3561.48,37.1,28.64,23.96,0,21.21081935049559,81.43278333679947
Bilaspur,S851,P21,2024-09-06 18:40:00,4046.82,3184.85,44.09,41.46,27.75,0,22.075872463280994,82.13554357727287
Bilaspur,S714,P62,2024-02-18 22:13:00,1996.55,1483.32,42.73,53.08,20.25,0,22.084931021591284,82.13267556586324
Bilaspur,S218,P90,2024-09-30 05:05:00,2810.28,2736.29,11.78,36.0,34.24,0,22.071413410069358,82.13648407437353
Bilaspur,S134,P78,2024-10-11 22:22:00,3057.75,2952.7,34.91,51.66,28.15,0,22.088155615444478,82.1314191400698
Durg,S235,P54,2024-11-17 21:58:00,4940.49,4324.77,7.44,40.05,30.74,0,21.198248417965395,81.28779720426989
Bilaspur,S987,P5,2024-09-11 21:02:00,4412.11,3323.66,44.42,57.75,32.08,1,22.079324047131,82.14749505188266
Bhilai,S446,P41,2024-06-18 09:17:00,1918.89,1739.43,7.09,35.78,23.88,0,21.206541606032697,81.42008764351172
Bhilai,S254,P71,2024-06-12 18:12:00,1990.13,1628.46,16.1,33.66,27.52,0,21.209310842661296,81.43317711518952
Raipur,S491,P75,2024-11-02 15:20:00,2512.85,2501.22,22.09,24.62,23.96,0,21.249057286287414,81.6233734659606
